Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Torque_RollingMean,Torque_RollingStd,Torque_RollingVar,AirTemp_RollingMean,AirTemp_RollingStd,AirTemp_RollingVar,ProcessTemp_RollingMean,ProcessTemp_RollingStd,ProcessTemp_RollingVar,RPM_RollingMean,RPM_RollingStd,RPM_RollingVar,ToolWear_RollingMean,ToolWear_RollingStd,ToolWear_RollingVar,Temp_Difference,Power_Index,Wear_Torque,Temp_Ratio,RPM_per_Torque,Ambient_Temperature,Humidity,Factory_Load,Shift,Heat_Stress,Load_Torque,Humidity_Wear,Temp_Load
1,298.2,308.7,1408,40.0,9,0,43.6,4.223150482755735,17.835,298.16,0.054772255750513,0.0029999999999996,308.62,0.0836660026534045,0.0069999999999994,1459.6,62.970628073729735,3965.2999999999993,4.8,3.492849839314596,12.2,10.5,56320.0,360.0,1.0352112676056338,34.34146341463415,31.98685661204493,68,0.7829043170930872,0,9874.34263613827,31.316172683723487,612,25.042648131807535
2,298.1,308.6,1425,41.9,11,0,43.42,4.284506972803289,18.357000000000003,298.16,0.054772255750513,0.0029999999999996,308.62,0.0836660026534045,0.0069999999999994,1434.4,37.17929531338641,1382.299999999997,7.0,3.1622776601683795,10.0,10.5,59707.5,460.9,1.0352230795035222,33.21678321678322,29.446942795315262,61,0.962677453549559,2,9087.326546634291,40.33618530372652,671,28.34790790501363
1,298.1,308.6,1558,42.4,14,0,42.64,3.972782400283208,15.783000000000012,298.14,0.0547722557505013,0.0029999999999983,308.6,0.0707106781186326,0.0049999999999968,1464.4,62.46839200747842,3902.299999999994,9.2,3.492849839314596,12.2,10.5,66059.2,593.6,1.0352230795035222,35.89861751152074,32.590754152402766,59,0.5127204505662197,0,10057.506731431495,21.739347104007717,826,16.709946153312842
1,298.1,308.6,1527,40.2,16,0,40.8,1.2708265027138923,1.6150000000000229,298.14,0.0547722557505013,0.0029999999999983,308.62,0.0447213595500075,0.002000000000001,1470.2,67.51073988633212,4557.699999999993,11.4,3.646916505762094,13.3,10.5,61385.4,643.2,1.0352230795035222,37.0631067961165,36.0921194256321,45,0.8540979689862682,2,11138.028054750066,34.334738353247985,720,30.826205897842215
2,298.3,308.7,1667,28.6,18,0,38.62,5.697543330243311,32.462000000000046,298.16,0.0894427190999818,0.0079999999999982,308.64,0.054772255750564,0.0030000000000052,1517.0,105.62433431742892,11156.499999999993,13.6,3.646916505762094,13.3,10.399999999999975,47676.2,514.8000000000001,1.0348642306402949,56.317567567567565,29.063386501106656,82,0.6651638446832772,1,8971.867412891625,19.023685957941726,1476,19.331913904592163
2,298.5,309.0,1741,28.0,21,0,36.22,7.278873539222953,52.98200000000008,298.22,0.1788854381999675,0.0319999999999943,308.7,0.1732050807569382,0.0300000000000174,1583.6,123.23067799862174,15185.799999999996,16.0,3.8078865529319534,14.5,10.5,48748.0,588.0,1.035175879396985,60.03448275862069,29.063452172203277,88,0.5901168259092306,2,8980.606721210812,16.523271125458457,1848,17.150832145825333
0,298.4,308.9,1782,23.9,24,0,32.62,8.16468003047273,66.66200000000018,298.28000000000003,0.1788854381999675,0.0319999999999943,308.76,0.181659021245925,0.0330000000000274,1655.0,111.2002697838454,12365.500000000002,18.6,3.974921382870358,15.799999999999995,10.5,42589.8,573.5999999999999,1.0351876675603218,71.56626506024097,36.316851262029566,68,0.7551978112600495,1,11218.275354840933,18.04922768911518,1632,27.426406584941493
0,298.6,309.1,1423,44.3,29,0,33.0,8.756426211645945,76.67500000000015,298.38,0.1923538406167448,0.037000000000012,308.86,0.2073644135334064,0.0430000000000535,1628.0,150.1932089010685,22558.0,21.6,5.128352561983233,26.29999999999999,10.5,63038.9,1284.6999999999998,1.03516409912927,31.412803532008837,33.069738916611634,81,0.7525318920899979,1,10221.856299124656,33.33716281958691,2349,24.886033197839993
2,298.6,309.1,1339,51.1,34,0,35.17999999999999,11.818502443203204,139.67700000000008,298.48,0.1303840481041712,0.0170000000000308,308.96,0.1673320053070799,0.0280000000000886,1590.4,197.78978740066435,39120.8,25.2,6.379655163094632,40.69999999999999,10.5,68422.90000000001,1737.4,1.03516409912927,25.70057581573896,28.12210245626019,56,0.5685055143442141,2,8692.541869230026,29.050631782989345,1904,15.987570321336888
2,298.6,309.2,1742,30.0,37,0,35.46,11.638857332229833,135.46300000000008,298.54,0.0894427191001983,0.0080000000000369,309.06,0.1140175425104202,0.0130000000001154,1605.4,207.64946424202492,43118.3,29.0,6.670832032063166,44.49999999999999,10.599999999999966,52260.0,1110.0,1.0354989953114533,56.193548387096776,32.17024017434386,70,0.600948028066445,0,9947.03826190712,18.02844084199335,2590,19.33264239519587
